Scenario,KeyType,Metric,Run1,Run2,Run3,RecordCount,Connections
insert_performance,UUIDV1,fragmentation,0.00,0.00,0.00,100000,4
insert_performance,UUIDV1,avg_leaf_density,-1.00,-1.00,-1.00,100000,4
insert_performance,UUIDV1,table_size_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV1,index_size_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV1,read_iops,0.00,0.00,0.00,100000,4
insert_performance,UUIDV1,write_iops,18.93,18.62,22.04,100000,4
insert_performance,UUIDV1,read_throughput_mb,0.00,0.00,0.00,100000,4
insert_performance,UUIDV1,write_throughput_mb,16.79,16.53,17.08,100000,4
read_performance,SEQUENTIAL,read_throughput,585.30,557.17,580.64,100000,4
read_performance,SEQUENTIAL,p50_latency_us,1653.00,1719.00,1674.00,100000,4
read_performance,SEQUENTIAL,p95_latency_us,2065.00,2273.00,2059.00,100000,4
read_performance,SEQUENTIAL,p99_latency_us,2655.00,3012.00,2553.00,100000,4
read_performance,SEQUENTIAL,cache_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,SEQUENTIAL,index_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,SEQUENTIAL,bloom_filter_fp,0.00,0.00,0.00,100000,4
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,100000,4
read_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,100000,4
read_performance,SEQUENTIAL,write_iops,0.46,1.05,0.46,100000,4
read_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,100000,4
read_performance,SEQUENTIAL,write_throughput_mb,0.33,0.37,0.32,100000,4
read_performance,UUIDV4,read_throughput,596.90,562.70,588.78,100000,4
read_performance,UUIDV4,p50_latency_us,1633.00,1703.00,1641.00,100000,4
read_performance,UUIDV4,p95_latency_us,1984.00,2240.00,2094.00,100000,4
read_performance,UUIDV4,p99_latency_us,2437.00,2882.00,2638.00,100000,4
read_performance,UUIDV4,cache_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,UUIDV4,index_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,UUIDV4,bloom_filter_fp,0.00,0.00,0.00,100000,4
read_performance,UUIDV4,fragmentation,0.00,0.00,0.00,100000,4
read_performance,UUIDV4,read_iops,0.00,0.00,0.00,100000,4
read_performance,UUIDV4,write_iops,0.41,0.39,0.52,100000,4
read_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,100000,4
read_performance,UUIDV4,write_throughput_mb,0.38,0.36,0.40,100000,4
read_performance,UUIDV7,read_throughput,581.57,551.06,587.47,100000,4
read_performance,UUIDV7,p50_latency_us,1657.00,1726.00,1657.00,100000,4
read_performance,UUIDV7,p95_latency_us,2085.00,2382.00,2001.00,100000,4
read_performance,UUIDV7,p99_latency_us,2832.00,3102.00,2525.00,100000,4
read_performance,UUIDV7,cache_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,UUIDV7,index_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,UUIDV7,bloom_filter_fp,0.00,0.00,0.00,100000,4
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,100000,4
read_performance,UUIDV7,read_iops,0.00,0.00,0.00,100000,4
read_performance,UUIDV7,write_iops,0.52,0.38,0.46,100000,4
read_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,100000,4
read_performance,UUIDV7,write_throughput_mb,0.43,0.35,0.39,100000,4
read_performance,ULID,read_throughput,575.35,552.14,574.92,100000,4
read_performance,ULID,p50_latency_us,1674.00,1740.00,1668.00,100000,4
read_performance,ULID,p95_latency_us,2129.00,2264.00,2178.00,100000,4
read_performance,ULID,p99_latency_us,2766.00,2969.00,3012.00,100000,4
read_performance,ULID,cache_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,ULID,index_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,ULID,bloom_filter_fp,0.00,0.00,0.00,100000,4
read_performance,ULID,fragmentation,0.00,0.00,0.00,100000,4
read_performance,ULID,read_iops,0.00,0.00,0.00,100000,4
read_performance,ULID,write_iops,1.02,0.60,1.02,100000,4
read_performance,ULID,read_throughput_mb,0.00,0.00,0.00,100000,4
read_performance,ULID,write_throughput_mb,0.45,0.38,0.43,100000,4
read_performance,ULID_MONOTONIC,read_throughput,584.58,562.98,588.35,100000,4
read_performance,ULID_MONOTONIC,p50_latency_us,1656.00,1696.00,1641.00,100000,4
read_performance,ULID_MONOTONIC,p95_latency_us,2066.00,2267.00,2080.00,100000,4
read_performance,ULID_MONOTONIC,p99_latency_us,2551.00,2871.00,2613.00,100000,4
read_performance,ULID_MONOTONIC,cache_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,ULID_MONOTONIC,index_hit_ratio,0.93,0.93,0.93,100000,4
read_performance,ULID_MONOTONIC,bloom_filter_fp,0.00,0.00,0.00,100000,4
read_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,100000,4
read_performance,ULID_MONOTONIC,read_iops,0.00,0.00,0.00,100000,4
read_performance,ULID_MONOTONIC,write_iops,0.40,0.45,0.64,100000,4
read_performance,ULID_MONOTONIC,read_throughput_mb,0.00,0.00,0.00,100000,4
read_performance,ULID_MONOTONIC,write_throughput_mb,0.38,0.37,0.36,100000,4
