Scenario,KeyType,Metric,Run1,Run2,Run3,RecordCount,Connections
read_performance,ULID,read_iops,90.27,79.73,85.49,50000000,1
read_performance,ULID,write_iops,2.70,1.01,0.72,50000000,1
read_performance,ULID,read_throughput_mb,1.64,0.73,0.62,50000000,1
read_performance,ULID,write_throughput_mb,1.21,0.34,0.21,50000000,1
read_performance,ULID,io_valid,1.00,1.00,1.00,50000000,1
read_performance,ULID_MONOTONIC,read_throughput,185.92,140.30,154.10,50000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,2867.00,6323.00,3754.00,50000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,13606.00,14855.00,18929.00,50000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,21923.00,20869.00,27507.00,50000000,1
read_performance,ULID_MONOTONIC,t_insert_s,1203.69,1198.50,1141.55,50000000,1
read_performance,ULID_MONOTONIC,t_fetch_s,537.64,524.82,610.31,50000000,1
read_performance,ULID_MONOTONIC,insert_failed,1400.00,1900.00,500.00,50000000,1
read_performance,ULID_MONOTONIC,attempted,100000.00,100000.00,100000.00,50000000,1
read_performance,ULID_MONOTONIC,succeeded,100000.00,100000.00,100000.00,50000000,1
read_performance,ULID_MONOTONIC,failed,0.00,0.00,0.00,50000000,1
read_performance,ULID_MONOTONIC,not_found,0.00,0.00,0.00,50000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,0.25,0.22,0.26,50000000,1
read_performance,ULID_MONOTONIC,index_hit_ratio,0.25,0.22,0.26,50000000,1
read_performance,ULID_MONOTONIC,sstable_count,35.00,50.00,61.00,50000000,1
read_performance,ULID_MONOTONIC,bloom_filter_fp,0.00,0.00,0.00,50000000,1
read_performance,ULID_MONOTONIC,fragmentation,0.00,2.18,0.09,50000000,1
read_performance,ULID_MONOTONIC,table_size_mb,13501.34,13517.23,13533.20,50000000,1
read_performance,ULID_MONOTONIC,read_iops,94.05,110.65,82.49,50000000,1
read_performance,ULID_MONOTONIC,write_iops,0.49,2.51,1.45,50000000,1
read_performance,ULID_MONOTONIC,read_throughput_mb,0.59,1.06,1.02,50000000,1
read_performance,ULID_MONOTONIC,write_throughput_mb,0.06,0.49,0.62,50000000,1
read_performance,ULID_MONOTONIC,io_valid,1.00,1.00,1.00,50000000,1
read_performance,UUIDV1,read_throughput,130.23,112.92,149.96,50000000,1
read_performance,UUIDV1,p50_latency_us,7167.00,8781.00,4084.00,50000000,1
read_performance,UUIDV1,p95_latency_us,15971.00,15015.00,14525.00,50000000,1
read_performance,UUIDV1,p99_latency_us,21619.00,21371.00,21006.00,50000000,1
read_performance,UUIDV1,t_insert_s,1151.73,1182.46,1165.76,50000000,1
read_performance,UUIDV1,t_fetch_s,557.21,528.47,529.90,50000000,1
read_performance,UUIDV1,insert_failed,1100.00,2600.00,700.00,50000000,1
read_performance,UUIDV1,attempted,100000.00,100000.00,100000.00,50000000,1
read_performance,UUIDV1,succeeded,100000.00,100000.00,100000.00,50000000,1
read_performance,UUIDV1,failed,0.00,0.00,0.00,50000000,1
read_performance,UUIDV1,not_found,0.00,0.00,0.00,50000000,1
read_performance,UUIDV1,cache_hit_ratio,0.18,0.13,0.25,50000000,1
read_performance,UUIDV1,index_hit_ratio,0.18,0.13,0.25,50000000,1
read_performance,UUIDV1,sstable_count,51.00,28.00,50.00,50000000,1
read_performance,UUIDV1,bloom_filter_fp,0.00,0.00,0.00,50000000,1
read_performance,UUIDV1,fragmentation,3.10,0.00,8.41,50000000,1
read_performance,UUIDV1,table_size_mb,12372.01,12338.55,12363.47,50000000,1
read_performance,UUIDV1,read_iops,102.77,109.42,97.32,50000000,1
read_performance,UUIDV1,write_iops,1.14,0.88,0.58,50000000,1
read_performance,UUIDV1,read_throughput_mb,0.86,0.67,0.60,50000000,1
read_performance,UUIDV1,write_throughput_mb,0.35,0.09,0.06,50000000,1
read_performance,UUIDV1,io_valid,1.00,1.00,1.00,50000000,1
